Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1416.3485675338304
FDW14,OUT017,1253.5971003026295
NCN55,OUT010,474.4885513247791
FDQ58,OUT017,2051.399719481648
FDY38,OUT027,3556.8463663302787
FDH56,OUT046,1440.3998246771455
FDL48,OUT018,654.0097300463411
FDC48,OUT027,1286.1090201093346
FDN33,OUT045,1253.5971003026295
FDA36,OUT017,2354.686061424482
FDT44,OUT017,1440.3998246771455
FDQ56,OUT045,1253.5971003026295
NCC54,OUT019,474.4885513247791
FDU11,OUT049,1440.3998246771455
DRL59,OUT013,654.0097300463411
FDM24,OUT049,1483.9010567354237
FDI57,OUT045,2354.686061424482
DRC12,OUT018,2354.686061424482
NCM42,OUT027,1416.3485675338304
FDA46,OUT010,422.11097529954577
FDA31,OUT013,2354.686061424482
NCJ31,OUT035,2601.1282296182085
FDG52,OUT046,654.0097300463411
NCL19,OUT019,304.40658837188533
FDS10,OUT035,2354.686061424482
FDX22,OUT010,474.4885513247791
NCF19,OUT035,654.0097300463411
NCE06,OUT046,2051.399719481648
DRC27,OUT046,2601.1282296182085
FDE21,OUT035,1440.3998246771455
NCR42,OUT019,77.57549298432012
FDX51,OUT018,2354.686061424482
NCR06,OUT018,637.3914619047047
FDU31,OUT027,3556.8463663302787
FDU59,OUT017,2354.686061424482
FDR03,OUT027,3556.8463663302787
FDS49,OUT027,1253.5971003026295
FDD48,OUT010,246.967922106996
NCF18,OUT017,2354.686061424482
NCD43,OUT027,1416.3485675338304
NCD54,OUT018,1444.0737541539866
FDY19,OUT010,246.967922106996
NCY54,OUT017,2354.686061424482
NCL19,OUT018,1483.9010567354237
FDP23,OUT010,474.4885513247791
FDC26,OUT013,1416.3485675338304
FDR14,OUT010,169.86303615354444
NCS41,OUT035,2354.686061424482
FDF41,OUT035,2601.1282296182085
FDU34,OUT046,1440.3998246771455
DRH11,OUT046,654.0097300463411
FDM03,OUT013,1286.1090201093346
FDS31,OUT017,2354.686061424482
FDJ20,OUT017,1440.3998246771455
FDV44,OUT027,2958.3078509869897
FDG02,OUT049,2354.686061424482
FDA09,OUT013,2354.686061424482
FDT04,OUT013,579.616194745018
FDL58,OUT019,515.8120874687091
FDE52,OUT045,1253.5971003026295
FDW12,OUT035,1483.9010567354237
FDL51,OUT017,2538.6491058351207
NCY42,OUT027,1766.8554411846487
FDR07,OUT017,1253.5971003026295
FDN40,OUT045,1483.9010567354237
FDB35,OUT027,1286.1090201093346
FDA22,OUT017,2354.686061424482
NCL06,OUT046,2601.1282296182085
FDI35,OUT013,2354.686061424482
NCW42,OUT045,2538.6491058351207
NCX06,OUT049,2354.686061424482
FDC37,OUT027,1416.3485675338304
FDZ14,OUT018,1440.3998246771455
DRG49,OUT049,2601.1282296182085
NCG06,OUT045,2601.1282296182085
DRC36,OUT045,2354.686061424482
FDV21,OUT019,257.21430207196437
FDB53,OUT046,1483.9010567354237
DRP47,OUT019,515.8120874687091
FDA14,OUT013,1483.9010567354237
DRC24,OUT035,1483.9010567354237
FDW21,OUT018,1286.1090201093346
NCH29,OUT046,1253.5971003026295
FDU58,OUT013,2354.686061424482
FDY27,OUT017,2354.686061424482
FDV56,OUT035,1416.3485675338304
FDT59,OUT046,2601.1282296182085
FDB23,OUT046,2538.6491058351207
FDR49,OUT045,654.0097300463411
FDB03,OUT010,474.4885513247791
FDN39,OUT045,2354.686061424482
FDX02,OUT027,3556.8463663302787
FDQ16,OUT027,1416.3485675338304
FDU35,OUT018,1286.1090201093346
NCT29,OUT013,1440.3998246771455
FDZ27,OUT046,654.0097300463411
FDN57,OUT017,1440.3998246771455
FDA03,OUT018,1483.9010567354237
FDZ36,OUT045,2354.686061424482
NCU05,OUT013,1253.5971003026295
FDT39,OUT018,1483.9010567354237
FDK60,OUT017,1253.5971003026295
FDZ25,OUT017,2354.686061424482
FDG12,OUT046,1440.3998246771455
DRB01,OUT019,422.11097529954577
NCC43,OUT027,3556.8463663302787
FDX13,OUT019,474.4885513247791
FDM22,OUT049,654.0097300463411
FDJ03,OUT027,666.2861071524088
FDU14,OUT018,2601.1282296182085
FDB33,OUT010,309.5738879398939
FDP27,OUT046,2354.686061424482
FDO38,OUT010,184.32075923670322
FDE28,OUT027,3556.8463663302787
FDO27,OUT035,1253.5971003026295
DRL23,OUT027,1416.3485675338304
FDS28,OUT046,654.0097300463411
FDX24,OUT013,1253.5971003026295
FDZ02,OUT035,1253.5971003026295
FDL46,OUT045,1440.3998246771455
FDS60,OUT027,2958.3078509869897
NCO06,OUT017,579.616194745018
FDO16,OUT035,1253.5971003026295
FDC60,OUT049,1253.5971003026295
FDA48,OUT018,2538.6491058351207
FDZ36,OUT027,2958.3078509869897
FDK27,OUT045,1440.3998246771455
FDW23,OUT018,579.616194745018
FDM14,OUT018,1416.3485675338304
FDM14,OUT013,1416.3485675338304
FDW60,OUT018,2354.686061424482
FDE21,OUT013,1440.3998246771455
NCM42,OUT035,1416.3485675338304
FDY59,OUT010,185.3107579131029
DRI49,OUT049,1253.5971003026295
FDT28,OUT019,309.16765575883085
FDQ22,OUT018,579.616194745018
FDR60,OUT049,1096.7876481669334
FDC50,OUT019,185.3107579131029
FDV24,OUT013,1483.9010567354237
DRF48,OUT010,422.11097529954577
FDQ47,OUT046,579.616194745018
DRN36,OUT049,1253.5971003026295
NCY06,OUT035,1440.3998246771455
FDE52,OUT035,1253.5971003026295
NCB54,OUT045,1440.3998246771455
NCF31,OUT035,1483.9010567354237
FDJ08,OUT027,2958.3078509869897
NCC07,OUT017,1286.1090201093346
NCD19,OUT027,666.2861071524088
FDL46,OUT049,1440.3998246771455
FDM20,OUT045,2601.1282296182085
NCI06,OUT010,407.8374646812794
DRM11,OUT035,2601.1282296182085
NCH07,OUT018,2051.399719481648
FDS23,OUT013,1440.3998246771455
FDO49,OUT018,654.0097300463411
FDS35,OUT049,654.0097300463411
DRK39,OUT045,1253.5971003026295
DRI39,OUT049,654.0097300463411
FDV04,OUT017,2051.399719481648
NCN14,OUT035,2354.686061424482
FDH08,OUT013,2601.1282296182085
FDS20,OUT046,2354.686061424482
FDV40,OUT049,694.4753114940648
FDZ48,OUT010,205.58132614974113
FDS24,OUT027,1286.1090201093346
FDK44,OUT049,2354.686061424482
FDS48,OUT045,1483.9010567354237
FDK26,OUT010,422.11097529954577
FDD23,OUT045,2354.686061424482
NCH54,OUT017,2051.399719481648
NCP14,OUT010,205.58132614974113
FDM60,OUT010,77.57549298432012
FDV24,OUT017,1483.9010567354237
FDH08,OUT018,2601.1282296182085
FDS12,OUT027,1766.8554411846487
FDR39,OUT027,2958.3078509869897
FDP12,OUT027,666.2861071524088
DRF60,OUT027,3556.8463663302787
FDC09,OUT035,1286.1090201093346
FDF50,OUT018,2354.686061424482
FDG28,OUT035,2601.1282296182085
NCE19,OUT017,654.0097300463411
NCM53,OUT010,205.58132614974113
NCN18,OUT049,1416.3485675338304
FDF32,OUT035,2354.686061424482
FDF11,OUT013,2601.1282296182085
DRI59,OUT049,2538.6491058351207
NCG54,OUT035,2354.686061424482
FDM44,OUT046,1286.1090201093346
FDT57,OUT018,2601.1282296182085
FDV24,OUT046,1483.9010567354237
FDI50,OUT019,474.4885513247791
FDS09,OUT035,654.0097300463411
NCC31,OUT027,2958.3078509869897
FDQ07,OUT019,474.4885513247791
FDC22,OUT017,2354.686061424482
FDZ56,OUT046,2354.686061424482
FDZ40,OUT019,169.86303615354444
FDS46,OUT027,1766.8554411846487
DRD24,OUT045,1444.0737541539866
FDV45,OUT017,2354.686061424482
FDL26,OUT045,2051.399719481648
FDA56,OUT018,1440.3998246771455
FDN27,OUT046,1440.3998246771455
FDM20,OUT049,2601.1282296182085
FDO16,OUT017,1253.5971003026295
FDL03,OUT035,2354.686061424482
FDE58,OUT046,1440.3998246771455
FDI02,OUT027,1416.3485675338304
NCC55,OUT019,77.57549298432012
FDR03,OUT018,2538.6491058351207
FDB14,OUT017,1253.5971003026295
FDR45,OUT013,2601.1282296182085
NCN07,OUT017,1440.3998246771455
FDM51,OUT019,205.58132614974113
FDT52,OUT027,3556.8463663302787
FDL26,OUT046,2051.399719481648
NCZ42,OUT046,2601.1282296182085
DRI47,OUT019,309.16765575883085
FDW40,OUT013,1444.0737541539866
