Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1693.7951999999993
FDW14,OUT017,959.4177999999999
NCN55,OUT010,884.1824
FDQ58,OUT017,612.5359999999998
FDY38,OUT027,6970.926000000004
FDH56,OUT046,2780.3808
FDL48,OUT018,729.0510000000004
FDC48,OUT027,1331.6000000000001
FDN33,OUT045,661.8051999999997
FDA36,OUT017,2285.025599999999
FDT44,OUT017,942.7728000000002
FDQ56,OUT045,2061.3167999999996
NCC54,OUT019,723.0588
FDU11,OUT049,1205.0979999999997
DRL59,OUT013,331.5684
FDM24,OUT049,2171.8396000000002
FDI57,OUT045,2587.9646000000007
DRC12,OUT018,3592.6567999999975
NCM42,OUT027,1948.1308000000008
FDA46,OUT010,394.1536
FDA31,OUT013,2942.8360000000002
NCJ31,OUT035,5243.840800000003
FDG52,OUT046,459.40199999999993
NCL19,OUT019,379.50599999999986
FDS10,OUT035,1443.4543999999996
FDX22,OUT010,210.39280000000008
NCF19,OUT035,850.8924000000001
NCE06,OUT046,5077.390799999999
DRC27,OUT046,5650.6446000000005
FDE21,OUT035,2432.8331999999996
NCR42,OUT019,79.896
FDX51,OUT018,2846.295
NCR06,OUT018,255.66720000000007
FDU31,OUT027,4976.855
FDU59,OUT017,2818.3314
FDR03,OUT027,3511.4292000000014
FDS49,OUT027,1677.8159999999993
FDD48,OUT010,222.37719999999993
NCF18,OUT017,3259.7568000000015
NCD43,OUT027,2036.0164000000002
NCD54,OUT018,1603.9121999999993
FDY19,OUT010,117.84659999999998
NCY54,OUT017,858.8820000000002
NCL19,OUT018,1246.3775999999998
FDP23,OUT010,424.78040000000004
FDC26,OUT013,1223.0745999999997
FDR14,OUT010,405.47220000000016
NCS41,OUT035,1695.7926
FDF41,OUT035,739.0380000000001
FDU34,OUT046,1897.5299999999995
DRH11,OUT046,1151.1681999999996
FDM03,OUT013,2679.8449999999993
FDS31,OUT017,1977.4259999999995
FDJ20,OUT017,1238.388
FDV44,OUT027,4364.319000000002
FDG02,OUT049,2940.1728000000003
FDA09,OUT013,3775.0859999999966
FDT04,OUT013,805.6179999999998
FDL58,OUT019,790.9703999999997
FDE52,OUT045,2554.0087999999996
FDW12,OUT035,2902.888000000001
FDL51,OUT017,4026.7584000000033
NCY42,OUT027,2127.231
FDR07,OUT017,1237.7222000000004
FDN40,OUT045,2153.1972000000005
FDB35,OUT027,2113.2491999999993
FDA22,OUT017,1823.6262000000002
NCL06,OUT046,5233.188000000003
FDI35,OUT013,2371.5796
NCW42,OUT045,8323.831599999994
NCX06,OUT049,2759.0752000000007
FDC37,OUT027,2876.256
FDZ14,OUT018,2684.505599999999
DRG49,OUT049,5375.669199999999
NCG06,OUT045,4133.286400000003
DRC36,OUT045,1926.1593999999993
FDV21,OUT019,139.818
FDB53,OUT046,3877.619200000002
DRP47,OUT019,788.9730000000005
FDA14,OUT013,1662.5025999999996
DRC24,OUT035,3383.5956000000006
FDW21,OUT018,1534.0031999999997
NCH29,OUT046,2954.154599999999
FDU58,OUT013,1701.7848000000004
FDY27,OUT017,1235.0590000000002
FDV56,OUT035,323.5788
FDT59,OUT046,6911.004000000002
FDB23,OUT046,4514.123999999997
FDR49,OUT045,780.9833999999997
FDB03,OUT010,889.5088
FDN39,OUT045,3137.2495999999983
FDX02,OUT027,5892.329999999996
FDQ16,OUT027,1547.985
FDU35,OUT018,1686.4714000000006
NCT29,OUT013,243.68279999999996
FDZ27,OUT046,768.999
FDN57,OUT017,3295.709999999998
FDA03,OUT018,1177.1344000000001
FDZ36,OUT045,1491.3920000000003
NCU05,OUT013,1288.9887999999999
FDT39,OUT018,2354.2688000000003
FDK60,OUT017,1686.4714000000006
FDZ25,OUT017,3735.1380000000004
FDG12,OUT046,2802.3521999999994
DRB01,OUT019,756.3487999999998
NCC43,OUT027,3297.707399999997
FDX13,OUT019,486.0340000000001
FDM22,OUT049,578.5802000000002
FDJ03,OUT027,1069.2748000000001
FDU14,OUT018,3193.842599999999
FDB33,OUT010,649.8207999999998
FDP27,OUT046,2466.789
FDO38,OUT010,127.83360000000002
FDE28,OUT027,5522.811
FDO27,OUT035,661.8051999999997
DRL23,OUT027,1544.6560000000006
FDS28,OUT046,999.3658
FDX24,OUT013,1110.5544000000004
FDZ02,OUT035,378.1743999999999
FDL46,OUT045,2356.9320000000002
FDS60,OUT027,4119.304599999997
NCO06,OUT017,1061.9510000000002
FDO16,OUT035,1165.1499999999999
FDC60,OUT049,2833.644799999999
FDA48,OUT018,5024.126800000005
FDZ36,OUT027,6338.415999999995
FDK27,OUT045,2059.9852
FDW23,OUT018,628.5151999999999
FDM14,OUT018,1593.9252
FDM14,OUT013,759.6778000000003
FDW60,OUT018,2652.547200000001
FDE21,OUT013,1969.4364000000007
NCM42,OUT035,515.9949999999998
FDY59,OUT010,190.4188
DRI49,OUT049,1320.9471999999998
FDT28,OUT019,334.23159999999996
FDQ22,OUT018,401.4773999999998
FDR60,OUT049,2181.8266000000003
FDC50,OUT019,96.541
FDV24,OUT013,2153.1972000000005
DRF48,OUT010,379.50599999999986
FDQ47,OUT046,849.5608000000002
DRN36,OUT049,1438.1279999999997
NCY06,OUT035,3560.698400000002
FDE52,OUT035,2163.8500000000004
NCB54,OUT045,1406.1696000000004
NCF31,OUT035,1214.4191999999998
FDJ08,OUT027,5313.084000000004
NCC07,OUT017,1262.3567999999998
NCD19,OUT027,631.8441999999998
FDL46,OUT049,2607.2728000000006
FDM20,OUT045,1225.0719999999997
NCI06,OUT010,358.2004000000001
DRM11,OUT035,5396.9748
NCH07,OUT018,1917.5039999999995
FDS23,OUT013,1927.4909999999995
FDO49,OUT018,575.2511999999999
FDS35,OUT049,1120.5414
DRK39,OUT045,2336.2922000000003
DRI39,OUT049,764.3383999999999
FDV04,OUT017,3257.759400000001
NCN14,OUT035,1837.608
FDH08,OUT013,459.40199999999993
FDS20,OUT046,1830.9499999999998
FDV40,OUT049,451.4124
FDZ48,OUT010,329.5710000000001
FDS24,OUT027,2067.3090000000007
FDK44,OUT049,2942.8360000000002
FDS48,OUT045,2808.3443999999995
FDK26,OUT010,563.2667999999999
FDD23,OUT045,1370.2164000000002
NCH54,OUT017,3515.423999999998
NCP14,OUT010,595.2251999999999
FDM60,OUT010,71.90640000000003
FDV24,OUT017,4026.7584000000033
FDH08,OUT018,5001.489600000003
FDS12,OUT027,2863.6057999999985
FDR39,OUT027,3235.788000000001
FDP12,OUT027,1058.6220000000005
DRF60,OUT027,4452.8704000000025
FDC09,OUT035,2125.2335999999996
FDF50,OUT018,2956.152000000001
FDG28,OUT035,4604.672799999999
NCE19,OUT017,1037.3164000000002
NCM53,OUT010,329.5710000000001
NCN18,OUT049,2263.72
FDF32,OUT035,3174.5343999999996
FDF11,OUT013,5331.726400000001
DRI59,OUT049,5954.915199999998
NCG54,OUT035,4512.1266
FDM44,OUT046,396.81680000000017
FDT57,OUT018,1768.3648
FDV24,OUT046,1797.6599999999996
FDI50,OUT019,256.3329999999999
FDS09,OUT035,631.8441999999998
NCC31,OUT027,3229.7957999999985
FDQ07,OUT019,790.9703999999997
FDC22,OUT017,6757.869999999996
FDZ56,OUT046,2863.6057999999985
FDZ40,OUT019,311.5943999999999
FDS46,OUT027,1549.3165999999994
DRD24,OUT045,1134.5231999999999
FDV45,OUT017,3554.7061999999987
FDL26,OUT045,2025.3636000000001
FDA56,OUT018,1864.2400000000002
FDN27,OUT046,1090.5803999999996
FDM20,OUT049,1944.1360000000009
FDO16,OUT017,2247.0749999999994
FDL03,OUT035,2749.754
FDE58,OUT046,1540.6611999999996
FDI02,OUT027,2306.9970000000008
NCC55,OUT019,37.950599999999994
FDR03,OUT018,1579.9434
FDB14,OUT017,1323.6103999999996
FDR45,OUT013,5512.824000000001
NCN07,OUT017,2950.1598
FDM51,OUT019,102.53319999999997
FDT52,OUT027,8262.578000000003
FDL26,OUT046,2187.153
NCZ42,OUT046,5451.5704000000005
DRI47,OUT019,307.5996
FDW40,OUT013,1139.8496000000002
FDN34,OUT046,2045.3375999999992
FDS01,OUT035,5688.595199999999
NCG55,OUT045,2828.3184000000015
FDC11,OUT035,1605.9095999999997
FDX35,OUT018,480.70759999999996
NCB06,OUT046,1597.9200000000005
FDR09,OUT019,255.66720000000007
FDC53,OUT017,1174.4711999999995
FDY45,OUT013,4578.040799999996
FDA22,OUT010,326.24199999999996
FDE02,OUT035,2050.6639999999998
FDW21,OUT045,1508.0369999999996
FDV34,OUT046,1478.0760000000005
FDS59,OUT049,1208.427
NCW17,OUT017,4020.7662000000005
NCK54,OUT046,2756.4120000000007
FDG17,OUT019,242.35120000000003
FDG35,OUT017,5469.546999999995
FDD08,OUT010,71.90640000000003
NCO07,OUT017,4029.4215999999974
FDJ10,OUT010,495.35519999999997
FDW36,OUT017,205.06639999999996
FDW21,OUT010,98.53839999999998
FDY19,OUT017,2239.0853999999995
DRE03,OUT013,623.1887999999999
NCC55,OUT049,1070.6063999999994
FDH52,OUT010,123.83879999999996
FDO09,OUT017,4757.806799999998
FDU43,OUT045,6145.334
FDX09,OUT010,352.874
FDH40,OUT019,265.6541999999999
FDW58,OUT017,2992.771000000003
FDC47,OUT017,4122.633600000003
NCR41,OUT035,2220.775875048718
DRG49,OUT035,5375.669199999999
