Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1540.0724637643593
FDW14,OUT017,1249.6283187553643
NCN55,OUT010,448.0395401334221
FDQ58,OUT017,2287.4617924664476
FDY38,OUT027,5395.560389778411
FDH56,OUT046,1682.1151651429136
FDL48,OUT018,580.3522149153468
FDC48,OUT027,2096.1415014125337
FDN33,OUT045,1241.5040419048767
FDA36,OUT017,2827.112600597717
FDT44,OUT017,1734.355511016329
FDQ56,OUT045,1220.3948072837443
NCC54,OUT019,531.2767917753158
FDU11,OUT049,1797.028546804051
DRL59,OUT013,683.6996912390299
FDM24,OUT049,2120.747520882232
FDI57,OUT045,2727.080076477926
DRC12,OUT018,2530.404152856756
NCM42,OUT027,2391.753536161938
FDA46,OUT010,432.75965812666635
FDA31,OUT013,2542.4911038010614
NCJ31,OUT035,3454.6905738126693
FDG52,OUT046,692.4082294319238
NCL19,OUT019,295.4667622283038
FDS10,OUT035,2659.097870957193
FDX22,OUT010,499.1840457630448
NCF19,OUT035,665.0371737109423
NCE06,OUT046,2435.30825081167
DRC27,OUT046,3362.6957163875563
FDE21,OUT035,1845.0958581399957
NCR42,OUT019,58.524224312542415
FDX51,OUT018,2494.2275627348554
NCR06,OUT018,384.6515198200756
FDU31,OUT027,4966.101344138924
FDU59,OUT017,2365.839469388042
FDR03,OUT027,5225.286560017642
FDS49,OUT027,1981.4410119923239
FDD48,OUT010,223.45445517273612
NCF18,OUT017,2803.0993712521536
NCD43,OUT027,2521.795052380936
NCD54,OUT018,1563.9571247676884
FDY19,OUT010,221.0907461389231
NCY54,OUT017,2608.6286587205404
NCL19,OUT018,1937.9258630708669
FDP23,OUT010,497.89103487500114
FDC26,OUT013,1560.72880621787
FDR14,OUT010,118.37805919544623
NCS41,OUT035,2901.0408542213936
FDF41,OUT035,3469.573766749334
FDU34,OUT046,1805.1618835621762
DRH11,OUT046,831.2148649702509
FDM03,OUT013,1466.6365629979462
FDS31,OUT017,2863.2034293222955
FDJ20,OUT017,1785.644774103957
FDV44,OUT027,4692.194870372604
FDG02,OUT049,2799.323451384681
FDA09,OUT013,2588.41295145041
FDT04,OUT013,568.4511931070857
FDL58,OUT019,451.8719675826258
FDE52,OUT045,1228.834722791289
FDW12,OUT035,2166.099027251612
FDL51,OUT017,3074.102007511141
NCY42,OUT027,3154.5647045611286
FDR07,OUT017,1280.414204597705
FDN40,OUT045,2095.177129459207
FDB35,OUT027,2348.2926367279547
FDA22,OUT017,2380.528588139824
NCL06,OUT046,3468.3611038699664
FDI35,OUT013,2788.245157385105
NCW42,OUT045,3283.9374854944685
NCX06,OUT049,2652.227213828055
FDC37,OUT027,2602.154604276649
FDZ14,OUT018,1580.4681976646882
DRG49,OUT049,3535.1845809662263
NCG06,OUT045,3434.186291382516
DRC36,OUT045,2561.476402842204
FDV21,OUT019,301.3049559027661
FDB53,OUT046,2211.7495364017136
DRP47,OUT019,460.10779758438036
