Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1475.187311060807
FDW14,OUT017,1475.187311060807
NCN55,OUT010,1475.187311060807
FDQ58,OUT017,1475.187311060807
FDY38,OUT027,1475.187311060807
FDH56,OUT046,1475.187311060807
FDL48,OUT018,1475.187311060807
FDC48,OUT027,1475.187311060807
FDN33,OUT045,1475.187311060807
FDA36,OUT017,1475.187311060807
FDT44,OUT017,1475.187311060807
FDQ56,OUT045,1475.187311060807
NCC54,OUT019,1475.187311060807
FDU11,OUT049,1475.187311060807
DRL59,OUT013,1475.187311060807
FDM24,OUT049,1475.187311060807
FDI57,OUT045,1475.187311060807
DRC12,OUT018,1475.187311060807
NCM42,OUT027,1475.187311060807
FDA46,OUT010,1475.187311060807
FDA31,OUT013,1475.187311060807
NCJ31,OUT035,1475.187311060807
FDG52,OUT046,1475.187311060807
NCL19,OUT019,1475.187311060807
FDS10,OUT035,1475.187311060807
FDX22,OUT010,1475.187311060807
NCF19,OUT035,1475.187311060807
NCE06,OUT046,1475.187311060807
DRC27,OUT046,1475.187311060807
FDE21,OUT035,1475.187311060807
NCR42,OUT019,1475.187311060807
FDX51,OUT018,1475.187311060807
NCR06,OUT018,1475.187311060807
FDU31,OUT027,1475.187311060807
FDU59,OUT017,1475.187311060807
FDR03,OUT027,1475.187311060807
FDS49,OUT027,1475.187311060807
FDD48,OUT010,1475.187311060807
NCF18,OUT017,1475.187311060807
NCD43,OUT027,1475.187311060807
NCD54,OUT018,1475.187311060807
FDY19,OUT010,1475.187311060807
NCY54,OUT017,1475.187311060807
NCL19,OUT018,1475.187311060807
FDP23,OUT010,1475.187311060807
FDC26,OUT013,1475.187311060807
FDR14,OUT010,1475.187311060807
NCS41,OUT035,1475.187311060807
FDF41,OUT035,1475.187311060807
FDU34,OUT046,1475.187311060807
DRH11,OUT046,1475.187311060807
FDM03,OUT013,1475.187311060807
FDS31,OUT017,1475.187311060807
FDJ20,OUT017,1475.187311060807
FDV44,OUT027,1475.187311060807
FDG02,OUT049,1475.187311060807
FDA09,OUT013,1475.187311060807
FDT04,OUT013,1475.187311060807
FDL58,OUT019,1475.187311060807
FDE52,OUT045,1475.187311060807
FDW12,OUT035,1475.187311060807
FDL51,OUT017,1475.187311060807
NCY42,OUT027,1475.187311060807
FDR07,OUT017,1475.187311060807
FDN40,OUT045,1475.187311060807
FDB35,OUT027,1475.187311060807
FDA22,OUT017,1475.187311060807
NCL06,OUT046,1475.187311060807
FDI35,OUT013,1475.187311060807
NCW42,OUT045,1475.187311060807
NCX06,OUT049,1475.187311060807
FDC37,OUT027,1475.187311060807
FDZ14,OUT018,1475.187311060807
DRG49,OUT049,1475.187311060807
NCG06,OUT045,1475.187311060807
DRC36,OUT045,1475.187311060807
FDV21,OUT019,1475.187311060807
FDB53,OUT046,1475.187311060807
DRP47,OUT019,1475.187311060807
FDA14,OUT013,1475.187311060807
DRC24,OUT035,1475.187311060807
FDW21,OUT018,1475.187311060807
NCH29,OUT046,1475.187311060807
FDU58,OUT013,1475.187311060807
FDY27,OUT017,1475.187311060807
FDV56,OUT035,1475.187311060807
FDT59,OUT046,1475.187311060807
FDB23,OUT046,1475.187311060807
FDR49,OUT045,1475.187311060807
FDB03,OUT010,1475.187311060807
FDN39,OUT045,1475.187311060807
FDX02,OUT027,1475.187311060807
FDQ16,OUT027,1475.187311060807
FDU35,OUT018,1475.187311060807
NCT29,OUT013,1475.187311060807
FDZ27,OUT046,1475.187311060807
FDN57,OUT017,1475.187311060807
FDA03,OUT018,1475.187311060807
FDZ36,OUT045,1475.187311060807
NCU05,OUT013,1475.187311060807
FDT39,OUT018,1475.187311060807
FDK60,OUT017,1475.187311060807
FDZ25,OUT017,1475.187311060807
FDG12,OUT046,1475.187311060807
