Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1413.6287539318146
FDW14,OUT017,1208.0269395226946
NCN55,OUT010,583.2773216287759
FDQ58,OUT017,2086.7473473551763
FDY38,OUT027,6757.236828100378
FDH56,OUT046,1488.5259020701562
FDL48,OUT018,719.8028556746935
FDC48,OUT027,1876.3066738452671
FDN33,OUT045,1205.067474715126
FDA36,OUT017,2729.523139641866
FDT44,OUT017,1534.0450876656346
FDQ56,OUT045,1090.80691351226
NCC54,OUT019,594.1593920063566
FDU11,OUT049,1604.1445652534221
DRL59,OUT013,824.7700091325676
FDM24,OUT049,2072.4333409125925
FDI57,OUT045,2779.7130046031484
DRC12,OUT018,2276.502474109188
NCM42,OUT027,2386.3743405180426
FDA46,OUT010,390.7849393007203
FDA31,OUT013,2325.568571255563
NCJ31,OUT035,4307.264171244488
FDG52,OUT046,822.3328600352578
NCL19,OUT019,263.7950878819702
FDS10,OUT035,2636.6913650711062
FDX22,OUT010,455.3191193580756
NCF19,OUT035,879.0694889171036
NCE06,OUT046,2123.915156927619
DRC27,OUT046,4160.333628613149
FDE21,OUT035,1553.9680725499416
NCR42,OUT019,105.98764727622826
FDX51,OUT018,2407.5085916945445
NCR06,OUT018,669.4352504045146
FDU31,OUT027,5916.401043089726
FDU59,OUT017,2256.213612312252
FDR03,OUT027,5303.391325566045
FDS49,OUT027,1861.2915610919197
FDD48,OUT010,202.65766869323915
NCF18,OUT017,2837.3532137116404
NCD43,OUT027,2262.2397044355153
NCD54,OUT018,1541.6742152924242
FDY19,OUT010,206.19626510743615
NCY54,OUT017,2444.1086069498588
NCL19,OUT018,1563.4565106231514
FDP23,OUT010,477.5728065834893
FDC26,OUT013,1378.5681583383239
FDR14,OUT010,124.43687642695478
NCS41,OUT035,2703.585891611408
FDF41,OUT035,4624.492282229814
FDU34,OUT046,1556.4327822618147
DRH11,OUT046,879.8324071681897
FDM03,OUT013,1310.8979858959274
FDS31,OUT017,2618.940862613582
FDJ20,OUT017,1608.1676983220998
FDV44,OUT027,4647.401551186079
FDG02,OUT049,2785.418791783734
FDA09,OUT013,2442.682234560992
FDT04,OUT013,743.8082801197469
FDL58,OUT019,730.7732601020226
FDE52,OUT045,1149.1735467584385
