Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1287.9169127426214
FDW14,OUT017,1122.6904674936757
NCN55,OUT010,636.1242800180715
FDQ58,OUT017,1556.0112734404408
FDY38,OUT027,5452.105737522363
FDH56,OUT046,1647.8684986975961
FDL48,OUT018,588.7312102350134
FDC48,OUT027,1831.5016626520771
FDN33,OUT045,940.4332071496592
FDA36,OUT017,2362.318222498531
FDT44,OUT017,1421.8452926926452
FDQ56,OUT045,1560.0256154324934
NCC54,OUT019,671.6303206861481
FDU11,OUT049,1615.7019575010386
DRL59,OUT013,709.5671921977095
FDM24,OUT049,2291.8458280722566
FDI57,OUT045,2550.0257253905406
DRC12,OUT018,2975.8727359414584
NCM42,OUT027,2512.038153224243
FDA46,OUT010,366.09041027389185
FDA31,OUT013,2634.5074623178184
NCJ31,OUT035,3685.507670113953
FDG52,OUT046,652.4520854968135
NCL19,OUT019,379.4430516552887
FDS10,OUT035,2840.0638589446667
FDX22,OUT010,387.5366549490529
NCF19,OUT035,568.5366761881863
NCE06,OUT046,1924.988136868846
DRC27,OUT046,3668.057300580644
FDE21,OUT035,1720.5112132380004
NCR42,OUT019,48.551842145701606
FDX51,OUT018,2022.8619249696756
NCR06,OUT018,247.32950265007022
FDU31,OUT027,5187.882185489891
FDU59,OUT017,1779.1121892085391
FDR03,OUT027,5096.485148153242
FDS49,OUT027,2258.3026892806
FDD48,OUT010,198.96086469189726
NCF18,OUT017,2771.499536931362
NCD43,OUT027,2309.695808030571
NCD54,OUT018,1201.4472530403943
FDY19,OUT010,172.95409623735515
NCY54,OUT017,2182.9606900819376
NCL19,OUT018,1974.6880037244603
FDP23,OUT010,404.61037022039807
FDC26,OUT013,1102.5015071316745
FDR14,OUT010,173.65378417102977
NCS41,OUT035,2831.049441006451
FDF41,OUT035,2266.6232993907943
FDU34,OUT046,1897.254437254358
DRH11,OUT046,531.9175277636399
FDM03,OUT013,1628.6368072627658
FDS31,OUT017,3377.0771846715606
FDJ20,OUT017,1427.589986565713
FDV44,OUT027,4786.7118339766375
FDG02,OUT049,2304.7727474691933
FDA09,OUT013,3195.970932622892
FDT04,OUT013,504.0041123379599
FDL58,OUT019,516.1185524038256
FDE52,OUT045,1347.3435191887068
FDW12,OUT035,2487.7558749040027
FDL51,OUT017,2925.4567299082137
NCY42,OUT027,2812.74642358998
FDR07,OUT017,1059.8761182039507
FDN40,OUT045,2277.7177613178114
FDB35,OUT027,2672.816614387494
FDA22,OUT017,1942.2557403829142
NCL06,OUT046,3971.5989891078816
FDI35,OUT013,3509.7261141552044
NCW42,OUT045,3766.805206688985
NCX06,OUT049,2834.816261552063
