Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1414.3656619916328
FDW14,OUT017,1208.313953365461
NCN55,OUT010,582.6017266832832
FDQ58,OUT017,2084.16329458185
FDY38,OUT027,6746.686903860648
FDH56,OUT046,1489.0580619103666
FDL48,OUT018,720.8629698652325
FDC48,OUT027,1877.613647986667
FDN33,OUT045,1205.6953807530135
FDA36,OUT017,2728.2728010596247
FDT44,OUT017,1534.280729097219
FDQ56,OUT045,1091.802650771623
NCC54,OUT019,593.8592629445056
FDU11,OUT049,1605.257638845234
DRL59,OUT013,825.9354726261945
FDM24,OUT049,2071.945084833244
FDI57,OUT045,2777.422588630316
DRC12,OUT018,2274.5705834608357
NCM42,OUT027,2386.9142239301377
FDA46,OUT010,390.79273050794035
FDA31,OUT013,2324.7757821199543
NCJ31,OUT035,4301.121540617026
FDG52,OUT046,823.0851136148104
NCL19,OUT019,263.8373786935011
FDS10,OUT035,2634.695208401791
FDX22,OUT010,455.4509854980359
NCF19,OUT035,880.4990008831385
NCE06,OUT046,2123.19947349851
DRC27,OUT046,4153.853821737904
FDE21,OUT035,1554.6066557822485
NCR42,OUT019,106.20386383631111
FDX51,OUT018,2406.2685878666584
NCR06,OUT018,670.3674292919347
FDU31,OUT027,5910.093281060031
FDU59,OUT017,2255.0671010968426
FDR03,OUT027,5294.130568813916
FDS49,OUT027,1861.8105919154364
FDD48,OUT010,202.92314734709544
NCF18,OUT017,2836.0317809236744
NCD43,OUT027,2262.780363048573
NCD54,OUT018,1542.0166799384053
FDY19,OUT010,206.45840531226833
NCY54,OUT017,2442.8289812858507
NCL19,OUT018,1563.2373110720848
FDP23,OUT010,477.41832262063684
FDC26,OUT013,1379.298943334377
FDR14,OUT010,124.70471189591998
NCS41,OUT035,2701.076086705926
FDF41,OUT035,4618.522723732464
FDU34,OUT046,1556.1647033919592
DRH11,OUT046,880.7496910894897
FDM03,OUT013,1309.946309298131
FDS31,OUT017,2614.7048322459764
FDJ20,OUT017,1609.0332821640739
FDV44,OUT027,4642.3127509965125
FDG02,OUT049,2784.591098826142
FDA09,OUT013,2441.0633752092035
FDT04,OUT013,744.4740501867194
FDL58,OUT019,729.8467247186994
FDE52,OUT045,1149.448721589721
FDW12,OUT035,1997.463032469969
FDL51,OUT017,3468.22253756191
NCY42,OUT027,3103.365422809728
FDR07,OUT017,1283.735950644696
FDN40,OUT045,1902.9313410101113
FDB35,OUT027,2054.390608994442
FDA22,OUT017,2282.310297997714
NCL06,OUT046,4888.127709974448
FDI35,OUT013,2442.7641535357293
NCW42,OUT045,3366.7965637008397
NCX06,OUT049,2585.74260890156
FDC37,OUT027,2344.8476074260966
FDZ14,OUT018,1319.531106660866
DRG49,OUT049,4378.255579639266
NCG06,OUT045,4489.158929119374
DRC36,OUT045,2266.0159683786683
