Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1420.9948897728787
FDW14,OUT017,1194.2168667156952
NCN55,OUT010,507.84968076906
FDQ58,OUT017,2240.454873327564
FDY38,OUT027,5532.91963616659
FDH56,OUT046,1698.4163273385398
FDL48,OUT018,705.6195009738992
FDC48,OUT027,2042.6758713629433
FDN33,OUT045,1364.5274890003027
FDA36,OUT017,2704.76272991516
FDT44,OUT017,1695.104154476693
FDQ56,OUT045,1196.9179709540533
NCC54,OUT019,520.8817030566172
FDU11,OUT049,1772.5728786979157
DRL59,OUT013,732.2954925251494
FDM24,OUT049,2240.454873327564
FDI57,OUT045,2718.5316117771313
DRC12,OUT018,2704.76272991516
NCM42,OUT027,2631.703045050366
FDA46,OUT010,428.18727648983867
FDA31,OUT013,2604.36183928137
NCJ31,OUT035,3461.0287314243124
FDG52,OUT046,711.6589565300178
NCL19,OUT019,305.5591544305121
FDS10,OUT035,2677.694542467788
FDX22,OUT010,436.95987535187624
NCF19,OUT035,711.6589565300178
NCE06,OUT046,2319.069062563549
DRC27,OUT046,3461.0287314243124
FDE21,OUT035,1692.8071673373145
NCR42,OUT019,58.04366591701749
FDX51,OUT018,2704.76272991516
NCR06,OUT018,532.2648397116988
FDU31,OUT027,5288.065389904343
FDU59,OUT017,2376.7867150860725
FDR03,OUT027,5239.988299322169
FDS49,OUT027,2046.4761692086572
FDD48,OUT010,219.11154568706317
NCF18,OUT017,2704.76272991516
NCD43,OUT027,2497.52574966821
NCD54,OUT018,2001.919074570423
FDY19,OUT010,221.2272322340544
NCY54,OUT017,2604.36183928137
NCL19,OUT018,2231.4938124841515
FDP23,OUT010,431.67446848790325
FDC26,OUT013,1575.3788773003394
FDR14,OUT010,154.8022826702061
NCS41,OUT035,2704.76272991516
FDF41,OUT035,3461.0287314243124
FDU34,OUT046,1772.5728786979157
DRH11,OUT046,734.9356774403508
FDM03,OUT013,1416.222080269193
FDS31,OUT017,2677.694542467788
FDJ20,OUT017,1769.116089164063
FDV44,OUT027,4734.105872847935
FDG02,OUT049,2704.76272991516
FDA09,OUT013,2623.9606666188033
FDT04,OUT013,534.2411645901033
FDL58,OUT019,505.7682822659138
FDE52,OUT045,1224.7614514811878
FDW12,OUT035,2231.4938124841515
FDL51,OUT017,3113.33048730404
NCY42,OUT027,3413.5021981116893
FDR07,OUT017,1370.618102814763
FDN40,OUT045,2240.454873327564
FDB35,OUT027,2424.2864703876508
FDA22,OUT017,2382.6205634313583
NCL06,OUT046,3461.0287314243124
FDI35,OUT013,2677.694542467788
NCW42,OUT045,3277.9410817964745
NCX06,OUT049,2633.9115707040996
FDC37,OUT027,2510.9758940273678
FDZ14,OUT018,1769.116089164063
DRG49,OUT049,3461.0287314243124
NCG06,OUT045,3461.0287314243124
DRC36,OUT045,2604.36183928137
FDV21,OUT019,276.33227569819434
FDB53,OUT046,2231.4938124841515
DRP47,OUT019,521.1120788235229
FDA14,OUT013,2231.4938124841515
DRC24,OUT035,2240.454873327564
FDW21,OUT018,1416.222080269193
NCH29,OUT046,1370.618102814763
FDU58,OUT013,2704.76272991516
FDY27,OUT017,2608.5178958523356
FDV56,OUT035,1453.4255999784598
FDT59,OUT046,3453.8859716884363
FDB23,OUT046,3323.0831308436555
FDR49,OUT045,695.6343060048438
FDB03,OUT010,519.3326139247761
FDN39,OUT045,2382.6205634313583
FDX02,OUT027,5461.664007016206
FDQ16,OUT027,2510.9758940273678
FDU35,OUT018,1381.588055984899
NCT29,OUT013,1772.5728786979157
FDZ27,OUT046,711.6589565300178
FDN57,OUT017,1800.4686523189926
FDA03,OUT018,2231.4938124841515
FDZ36,OUT045,2704.76272991516
NCU05,OUT013,1152.57123476293
FDT39,OUT018,2240.454873327564
FDK60,OUT017,1367.5250066657181
FDZ25,OUT017,2530.511112948705
FDG12,OUT046,1772.5728786979157
DRB01,OUT019,398.0788228048322
NCC43,OUT027,5549.464901822028
FDX13,OUT019,473.1697057059187
FDM22,OUT049,734.9356774403508
FDJ03,OUT027,1352.6229386424745
FDU14,OUT018,3461.0287314243124
FDB33,OUT010,362.82843824205804
FDP27,OUT046,2704.76272991516
FDO38,OUT010,153.8276336828347
FDE28,OUT027,5532.91963616659
FDO27,OUT035,1364.5274890003027
DRL23,OUT027,2508.5109931803177
FDS28,OUT046,734.9356774403508
FDX24,OUT013,1306.8025019594843
FDZ02,OUT035,1367.502191193194
FDL46,OUT045,1695.104154476693
FDS60,OUT027,4452.243593504922
NCO06,OUT017,527.1814759448486
FDO16,OUT035,1187.276047197047
FDC60,OUT049,1194.6994671124196
FDA48,OUT018,3198.6687104960743
FDZ36,OUT027,4721.405740434056
FDK27,OUT045,1769.116089164063
FDW23,OUT018,521.7861953982853
FDM14,OUT018,1515.2748785115064
FDM14,OUT013,1420.9948897728787
FDW60,OUT018,2608.5178958523356
FDE21,OUT013,1696.1148519684823
NCM42,OUT035,1478.7141421569438
FDY59,OUT010,191.81804755819283
DRI49,OUT049,1152.57123476293
